Key;Polski;Angielski;;;;;;;;;;;;;
wakeUpHello;H a l o! Halo! Wstawaj, nie ?pimy w pracy!;Hello! Wake up! Don't sleep at work.;;;;;;;;;;;;;
sorry;… tak, przepraszam. To by? ostatni raz.;...I'm sorry, i promise this is te last time.;;;;;;;;;;;;;
makeRaport;Skoro ju? si? rozbudzi?e?, zrób dla mnie raport dzienny. Czekam a? sko?czysz w moim biurze.;Since you're all woken up now, do the daily report. I'll be waiting in my office.;;;;;;;;;;;;;
bossWaitReport;Czekam na raport…;I'm waiting for the report...;;;;;;;;;;;;;
raportGiveDaily;daj szefowi raport codzienny;Give your boss the daily report;;;;;;;;;;;;;
thanks;Dzi?kuj?.;Thank you.;;;;;;;;;;;;;
raportNeutral;Wszystko si? zgadza… to by? kolejny pi?kny dzie? w biurze. Teraz id? wys?a? raport dalej.;Everything's correct. It was another beautiful day at the office. Now go send the report.;;;;;;;;;;;;;
raportBossGive;daj szefowi raport ???;Give your boss the ??? report;;;;;;;;;;;;;
bossTerminate;Hmm… Interesuj?ce. Chyba musimy rozwa?y? twoj?  t e r m i n a c j ?.;Hmm... Interesting. I think we should consider your t e r m i n a t i o n.;;;;;;;;;;;;;
defaultDialog_Fish0;Bul bul ból…;I'm fruity not fishy;;;;;;;;;;;;;
defaultDialog_Fish1;Pracuj?, nie przeszkadzaj mi…;I'm working... do not disturb me;;;;;;;;;;;;;
defaultDialog_Fish2;Nie poddawaj si?!;Don't give up!;;;;;;;;;;;;;
defaultDialog_Fish3;Jestem wype?niona determinacj?!;I'm filled with determination!;;;;;;;;;;;;;
defaultDialog_Fish4;Kocham t? firm?!;I love this job!;;;;;;;;;;;;;
defaultDialog_Fish5;Meow;Meow;;;;;;;;;;;;;
defaultDialog_Fish6;Pogoda jest dzi? taka ?adna!;The weather is so nice today...;;;;;;;;;;;;;
defaultDialog_Fish7;Ju? jutro owocowy czwartek…;Only 8 hours of work left!;;;;;;;;;;;;;
defaultDialog_Fish8;Cze??!;Hello sushine!;;;;;;;;;;;;;
defaultDialog_Fish9;Co za pi?kny dzie?!;What a beautiful day!;;;;;;;;;;;;;
defaultDialog_Fish10;Niestety nie mog? ci w niczym pomóc…;I can not help you with anything...;;;;;;;;;;;;;
defaultDialog_Fish11;Zapomnia?am…;I forgor....;;;;;;;;;;;;;
idNoPermission;Twój identyfikator nie ma uprawnie? ?eby otworzy? te drzwi.;Your ID doesn't have the permission to open this door.;;;;;;;;;;;;;
segregator0;Wyci?gasz z szafy segregator o numerze B876. Nie jest ci potrzebny wi?c odk?adasz go na miejsce.;You pull a document binder number B876 out of the cabinet. You don't need it so you put it back.;;;;;;;;;;;;;
segregator1;Wyci?gasz z szafy segregator o numerze G632. Nie jest ci potrzebny wi?c odk?adasz go na miejsce.;You pull a document binder number G632 out of the cabinet. You don't need it so you put it back.;;;;;;;;;;;;;
segregator2;Wyci?gasz z szafy segregator o numerze O903. Nie jest ci potrzebny wi?c odk?adasz go na miejsce.;You pull a document binder number O903 out of the cabinet. You don't need it so you put it back.;;;;;;;;;;;;;
segregator3;Wyci?gasz z szafy segregator o numerze Y401. Nie jest ci potrzebny wi?c odk?adasz go na miejsce.;You pull a document binder number Y401 out of the cabinet. You don't need it so you put it back.;;;;;;;;;;;;;
pickRice;Podnosisz misk? z ry?em. Zosta?a wcze?niej podgrzana ale zd??y?a ju? lekko wystygn??.;You pick up a bowl of rice. It was warmed up before but it's already gotten a little cold.;;;;;;;;;;;;;
raportPick0;Schylasz si? i zagl?dasz pod szafk?.  Znajdujesz fragment Raportu ??? !;You bend down and check under the cabinet. You find a piece of the ??? report!;;;;;;;;;;;;;
raportPick1;Przesuszona ro?lina w tak ?adnym biurze… dziwne. Znajdujesz kolejny fragment Raportu ??? !;Dry plant in such a nice office... weird. You find another piece of the ??? report!;;;;;;;;;;;;;
noFood;Nie przynios?e? sobie nic do jedzenia… Znowu.;You didn't bring lunch.. again.;;;;;;;;;;;;;
idNewPermission;Nowe uprawnienia identyfikatora zosta?y nadane.;New permissions had ben added to your ID!;;;;;;;;;;;;;
computerPassword;Podaj has?o: ____;Type in the password:____;;;;;;;;;;;;;
raportAskSend;Czy chcesz wys?a? raport?;Do you want to send the report?;;;;;;;;;;;;;
raportBossShow;Nie, najpierw musz? pokaza? go szefowi.;No, i have to show it to my boss first;;;;;;;;;;;;;
raportNoRaport;Nie masz raportu do wys?ania.;You don't have a report to send.;;;;;;;;;;;;;
raportSend;Wy?lij raport ???;Send the ??? report.;;;;;;;;;;;;;
toiletIntro;Halo, jest tam kto?! Prosz?, przynie? mi papier toaletowy…;Hello, is anyone there?! Please, bring me some toilet paper.;;;;;;;;;;;;;
toiletEnd;Dzi?kuj?! Oto twoja nagroda!;Thank you! Here is your prize.;;;;;;;;;;;;;
toiletDots;...;...;;;;;;;;;;;;;
dolphinDialog0;Cze??, co tam u ciebie?;Hi, how are you?;;;;;;;;;;;;;
dolphinDialogChoice0A;Wszystkie dni w biurze s? dla mnie takie same. A co tam u ciebie?;All days at the offcie are the same. How about you?;;;;;;;;;;;;;
dolphinDialogAns0A;Oh… Tak, te? mam takie wra?enie. ;Oh.. Yes, i had the same feeling. Im alright though.;;;;;;;;;;;;;
dolphinDialogChoice0B;Nie jest najlepiej… ;It's... Not great.;;;;;;;;;;;;;
dolphinDialogAns0B;Przykro mi… Mam nadziej?, ?e przynajmniej ty nied?ugo poczujesz si? lepiej;I'm sorry... I hope at least you'll feel better soon.;;;;;;;;;;;;;
userDolphinDialog1;Hej, czy wszystko w porz?dku?;Hey, is everythink alright?;;;;;;;;;;;;;
dolphinDialogChoice1A;Tak, ile razy mam ci mówi?!!! Podchodzisz do mnie codziennie i mówisz to samo!! Codziennie wszyscy mówi? to samo! Nie podchod? ju? dzi? do mnie!!!!;Yes, how many times am I supposed to tell you?! You come up to me every single day and say the same thing!! Everyone says the same thing!  Don't come up to me again today!!!;;;;;;;;;;;;;
dolphinDialogChoice1B;Je?li chcesz porozmawia? o swoich uczuciach, jestem tu dla ciebie.;If you'll ever want to talk about your feeling, i'm here.;;;;;;;;;;;;;
